sample_id,input,filtered,denoised_r1,denoised_r2,merged,nochim
A1_2021_F1_D0_1,65860,65448,56953,53833,49231,38926
A1_2021_F1_D0_2,120004,119160,105998,99343,92118,75238
A1_2021_F1_D0_3,101072,100523,89458,84665,78270,61601
A1_2021_F1_D0_4,96217,95597,85463,78493,73149,60683
A1_2021_F1_D1_1,94447,93885,83384,79319,73320,61523
A1_2021_F1_D1_2,157792,156812,141164,131686,123299,106007
A1_2021_F1_D1_3,173485,172460,155410,145265,135548,111706
A1_2021_F1_D1_4,75703,75172,65613,60380,55407,46271
A1_2021_F1_D2_1,112870,112189,101880,95646,89651,79244
A1_2021_F1_D2_2,102538,101786,91730,85922,80365,71844
A1_2021_F1_D2_3,69711,69304,62292,59096,55024,48546
A1_2021_F1_D2_4,95532,94969,85299,81338,75751,66582
A1_2021_F2_D0_1,80056,79630,71031,68034,63125,52420
A1_2021_F2_D0_2,77596,77101,68451,64805,60024,50864
A1_2021_F2_D0_3,60728,60255,52902,50065,45985,39629
A1_2021_F2_D0_4,97630,97042,86792,82643,76675,64672
A1_2021_F2_D1_1,71074,70579,62403,57827,53434,45749
A1_2021_F2_D1_2,159997,159097,145827,138059,130146,113600
A1_2021_F2_D1_3,182685,181698,164921,156197,146392,122757
A1_2021_F2_D1_4,78067,77664,69130,66110,61130,53112
A1_2021_F2_D2_1,94149,93618,85488,81650,76752,72705
A1_2021_F2_D2_2,88819,88251,78290,74338,68848,62661
A1_2021_F2_D2_3,110730,109799,98436,90544,84628,78167
A1_2021_F2_D2_4,77780,77277,67952,64473,59458,53892
A1_2021_F3_D0_1,61959,61529,53763,49642,45649,36299
A1_2021_F3_D0_2,115137,114411,102402,95362,88627,75944
A1_2021_F3_D1_1,87364,86825,76649,72852,67170,57433
A1_2021_F3_D1_2,101706,100938,89868,82877,77194,69078
A1_2021_F3_D2_1,139094,138388,127032,122396,115549,107482
A1_2021_F3_D2_2,122008,121190,106266,99883,91954,74251
A1_2021_M1F_D0_1,48712,48321,41539,38579,34879,28076
A1_2021_M1F_D0_2,75498,74978,64905,61065,55393,43844
A1_2021_M1F_D0_3,88816,88192,76071,70933,64460,52297
A1_2021_M1F_D0_4,59890,59488,51842,47876,43748,34295
A1_2021_M1F_D1_1,57168,56798,49317,46515,42342,34464
A1_2021_M1F_D1_2,4738,4701,4139,3528,3257,3255
A1_2021_M1F_D1_3,124820,123886,108055,100984,92702,74910
A1_2021_M1F_D1_4,115556,114778,100516,93894,85923,68874
A1_2021_M1F_D2_1,89948,89279,79073,72425,66862,57914
A1_2021_M1F_D2_2,132136,130957,115877,106072,98278,84346
A1_2021_M1F_D2_3,96544,95941,85286,81114,74903,65926
A1_2021_M1F_D2_4,98919,98169,85029,79941,72890,63153
A1_2021_M1N_D0_1,37326,37066,31838,30243,27381,22047
A1_2021_M1N_D0_2,54557,54188,46559,43697,39751,33432
A1_2021_M1N_D0_3,50011,49635,42681,39043,35461,27638
A1_2021_M1N_D0_4,112988,112161,97923,90973,83428,67762
A1_2021_M1N_D1_1,57436,56984,49330,46334,42288,35084
