sample_id,input,filtered,denoised_r1,denoised_r2,merged,nochim
A2_1_1,45111,23694,12832,7521,5391,5330
A2_1_2,225636,159307,100444,88247,67076,60246
A2_1_3,236498,146999,93930,77619,60554,56878
A2_1_4,404248,308241,201147,166876,130884,112831
A2_10_1,367,151,43,36,14,12
A2_10_2,367,121,34,42,20,17
A2_10_3,263471,222185,147013,137462,104192,77028
A2_10_4,79135,65178,41762,39838,29337,25535
A2_11_1,311276,265636,175221,177911,131669,99627
A2_11_2,62407,52015,33312,32391,23662,20332
A2_11_3,252074,215087,139441,141860,103945,77296
A2_11_4,504,224,62,63,25,23
A2_12_1,113360,96055,63268,62495,46726,36303
A2_12_2,207,73,22,20,13,13
A2_13_1,159056,123223,85402,64964,54038,53752
A2_13_2,85667,56987,37023,31283,24589,24459
A2_14_1,73151,57732,37774,31500,24670,22799
A2_14_2,41794,30803,16176,16464,10529,9571
A2_14_3,520407,406606,273192,236081,187639,168659
A2_14_4,206442,158475,98832,91232,68208,60768
A2_15_1,71,30,9,7,4,4
A2_15_2,60662,49466,31292,26469,20102,18307
A2_15_3,153805,119225,77903,64343,50261,44414
A2_15_4,127037,101703,66956,57098,44786,40992
A2_16_1,74350,57293,34929,31882,23309,21569
A2_16_2,451279,362456,234074,206381,158864,134455
A2_16_3,48409,38979,24396,20266,15260,14065
A2_16_4,71458,57039,36074,30579,23102,20622
A2_17_1,202270,169149,106462,105770,76394,58541
A2_17_2,293,125,36,36,19,17
A2_17_3,34,14,4,2,0,0
A2_17_4,201994,164750,105050,103769,75914,63561
A2_18_1,547505,460682,310057,288379,222459,157401
A2_18_2,57617,47090,29840,27110,20024,16215
A2_18_3,125231,106985,71513,66137,50556,39821
A2_18_4,188933,154463,99364,94332,70101,51555
A2_19_1,300634,258608,175140,163703,125991,101482
A2_19_2,91125,74174,47463,43314,32351,26687
A2_19_3,161530,126941,87830,66227,55419,55180
A2_19_4,79037,64512,42049,37923,28731,23989
A2_2_1,153301,110070,70327,62429,47746,44186
A2_2_2,82806,65004,40954,31826,24135,21876
A2_2_3,25,6,2,1,0,0
A2_2_4,138620,109541,69608,57774,44311,40449
A2_20_1,84472,72683,48095,43758,33178,26893
A2_20_2,98953,83880,56436,52391,40308,33644
A2_20_3,186115,154194,86091,91805,58847,45224
A2_20_4,70158,56286,36045,32596,24430,19598
A2_21_1,154431,132387,85623,85121,62539,48444
A2_21_2,492568,411941,276294,252397,194445,149098
A2_21_3,708,300,96,93,50,42
A2_21_4,67396,57716,38945,33745,26117,19539
A2_22_1,647252,555492,380344,361099,280487,211156
A2_22_2,239879,198195,128878,121753,91413,70627
A2_22_3,60750,51315,33187,32335,23935,18627
A2_22_4,55270,35320,17345,6733,4343,3591
A2_23_1,226792,188334,121039,125749,91206,70952
A2_23_2,379069,317486,213693,192716,148777,113286
A2_23_3,185426,155823,102378,94993,71831,52814
A2_23_4,145022,117144,75653,71412,53561,42581
A2_24_1,389,254,125,129,83,79
A2_24_2,54,17,5,7,2,2
A2_25_1,130330,101560,66586,56879,44148,41428
A2_25_2,1530,433,159,106,69,61
A2_26_1,40253,31764,19330,16571,12160,11169
A2_26_2,70023,56098,34417,30322,22313,19963
A2_26_3,140218,111612,73439,60672,47530,43161
A2_26_4,126,47,19,12,8,8
A2_3_1,97358,74211,47741,40061,30846,27815
A2_3_2,742247,583392,378527,332151,256964,215779
A2_3_3,81205,61885,39707,31629,24404,22666
A2_3_4,293338,234348,150347,125747,97208,85339
A2_4_1,248184,179639,113622,100662,76231,69795
A2_4_2,55614,43521,27392,24806,18650,16964
A2_4_3,27,9,3,3,1,1
A2_4_4,181141,141750,90127,80541,60960,53183
A2_5_1,72,20,4,4,1,1
A2_5_2,56925,46994,28162,27435,19250,15298
A2_5_3,90816,78924,54531,47555,37458,28582
A2_5_4,68321,55082,35055,31838,23724,18214
A2_6_1,110160,93718,60629,60008,44258,35351
A2_6_2,429090,351309,234230,215736,165247,139732
A2_6_3,79422,68380,45575,43180,32697,22847
A2_6_4,111286,91177,57166,54249,39445,33703
A2_7_1,716592,606632,420420,391588,306077,236001
A2_7_2,36,14,6,4,4,4
A2_7_3,319,115,41,35,21,20
A2_7_4,75767,62166,39798,35406,26431,21950
A2_8_1,73398,61312,37743,34731,24802,18348
A2_8_2,48789,38730,23457,23900,16656,13658
A2_8_3,79014,67164,44254,40673,30743,25197
A2_8_4,165188,134537,87836,82029,61642,49391
A2_9_1,445233,369584,238222,240284,176793,123755
A2_9_2,62260,51973,34408,30069,23268,19248
A2_9_3,128823,110235,73852,69400,53014,40329
A2_9_4,183,54,17,14,10,10
