sample_id,input,filtered,denoised_r1,denoised_r2,merged,nochim
A2_2021_F1_D0_1,150600,121742,121599,121571,119082,84955
A2_2021_F1_D0_2,160932,128950,128708,128774,126226,94803
A2_2021_F1_D0_3,150077,122089,121936,121960,119785,85799
A2_2021_F1_D0_4,134714,109607,109418,109492,107502,79040
A2_2021_F1_D1_1,151965,122963,122728,122811,120427,89770
A2_2021_F1_D1_2,158259,125576,125344,125382,123076,92669
A2_2021_F1_D1_3,138108,111264,111059,111113,109016,79716
A2_2021_F1_D1_4,214770,174377,174121,174161,171029,126352
A2_2021_F1_D2_1,147938,117765,117504,117597,115746,91821
A2_2021_F1_D2_2,165991,134307,133868,133994,131531,105483
A2_2021_F1_D2_3,182547,148672,148226,148372,145528,109829
A2_2021_F1_D2_4,138371,110742,110476,110604,108389,84520
A2_2021_F2_D0_1,177823,144767,144531,144602,142163,112393
A2_2021_F2_D0_2,167790,136169,135966,136031,134252,108240
A2_2021_F2_D0_3,137667,110253,110110,110153,108243,87889
A2_2021_F2_D0_4,166654,136410,136245,136300,134453,106660
A2_2021_F2_D1_1,144729,117137,116977,117047,115354,93510
A2_2021_F2_D1_2,83655,65569,65485,65495,64427,52461
A2_2021_F2_D1_3,128485,102670,102548,102563,101128,82440
A2_2021_F2_D1_4,140812,112281,112085,112117,110206,86507
A2_2021_F2_D2_1,171169,138049,137692,137826,135546,112866
A2_2021_F2_D2_2,194918,157679,157299,157519,155264,128345
A2_2021_F2_D2_3,139895,113866,113652,113667,112075,93430
A2_2021_F2_D2_4,169256,133996,133788,133840,131610,109183
A2_2021_F3_D0_1,202886,165095,164905,164913,161705,129752
A2_2021_F3_D0_2,151455,123661,123460,123533,121629,95774
A2_2021_F3_D1_1,178938,145073,144842,144931,141520,112123
A2_2021_F3_D1_2,133413,108056,107918,107886,105697,86520
A2_2021_F3_D2_1,153779,123552,123315,123400,121238,95421
A2_2021_F3_D2_2,137703,110229,110059,110132,108468,81643
A2_2021_M1F_D0_1,134423,107530,107346,107411,105969,87292
A2_2021_M1F_D0_2,142077,112419,112211,112298,110533,86616
A2_2021_M1F_D0_3,158481,125104,124872,124978,123075,101896
A2_2021_M1F_D0_4,254762,197929,197442,197738,195691,165417
A2_2021_M1F_D1_1,199030,157754,157412,157555,155149,124906
A2_2021_M1F_D1_2,157879,126564,126315,126393,124391,96397
A2_2021_M1F_D1_3,169234,133185,132976,133084,131284,106632
A2_2021_M1F_D1_4,194714,155321,155033,155176,152808,117890
A2_2021_M1F_D2_1,132653,105466,105256,105385,103853,84373
A2_2021_M1F_D2_2,143144,115309,115081,115150,113479,90750
A2_2021_M1F_D2_3,151896,121892,121684,121777,119612,94034
A2_2021_M1F_D2_4,124917,98848,98559,98712,97108,78293
A2_2021_M1N_D0_1,128507,99851,99652,99751,97984,79764
A2_2021_M1N_D0_2,204742,162855,162507,162682,160636,129828
A2_2021_M1N_D0_3,129754,104604,104436,104504,102905,82864
A2_2021_M1N_D0_4,160690,126851,126643,126725,124995,100789
A2_2021_M1N_D1_1,139116,108314,108140,108199,106544,87063
A2_2021_M1N_D1_2,162083,130225,129966,130046,128064,100128
A2_2021_M1N_D1_3,186973,149520,149189,149401,147546,119752
A2_2021_M1N_D1_4,200844,162053,161719,161848,159515,124568
A2_2021_M1N_D2_1,152178,119936,119698,119802,118060,96892
A2_2021_M1N_D2_2,143751,116195,115959,116055,114478,90316
A2_2021_M1N_D2_3,138732,110691,110383,110500,108638,91168
A2_2021_M1N_D2_4,147906,112178,111942,112012,110300,87942
A2_2021_M2F_D0_1,209314,167359,167085,167129,164165,127369
A2_2021_M2F_D0_2,120300,95833,95663,95734,94412,71952
A2_2021_M2F_D0_3,140834,111376,111158,111234,108821,83013
A2_2021_M2F_D0_4,133345,106360,106219,106227,104746,78763
A2_2021_M2F_D1_1,162108,126877,126706,126769,124287,94486
A2_2021_M2F_D1_2,148810,117907,117656,117775,116098,93368
A2_2021_M2F_D1_3,138807,111267,111057,111139,109201,82224
A2_2021_M2F_D1_4,145812,118149,117975,118013,116132,85373
A2_2021_M2F_D2_1,199274,161806,161496,161677,159662,121248
A2_2021_M2F_D2_2,170331,138744,138518,138571,136707,103403
A2_2021_M2F_D2_3,124407,98773,98590,98632,96934,73649
A2_2021_M2F_D2_4,218652,176975,176673,176774,174251,130094
A2_2021_M2N_D0_1,138593,113222,113065,113132,111510,86261
A2_2021_M2N_D0_2,169632,134841,134580,134709,132417,99743
A2_2021_M2N_D0_3,187684,149102,148850,148926,146484,118270
A2_2021_M2N_D0_4,144266,115392,115211,115221,112972,85665
A2_2021_M2N_D1_1,149399,120571,120438,120482,118788,90274
A2_2021_M2N_D1_2,133278,108729,108518,108598,106947,76985
A2_2021_M2N_D1_3,133023,108661,108461,108551,107100,81652
A2_2021_M2N_D1_4,183183,148569,148239,148429,145858,106388
A2_2021_M2N_D2_1,143835,115256,115012,115088,113307,86836
A2_2021_M2N_D2_2,130448,104048,103855,103909,102144,76782
A2_2021_M2N_D2_3,142964,116114,115915,115965,114058,85900
A2_2021_M2N_D2_4,133405,108593,108368,108493,106734,86129
A2_2021_M3F_D0_1,210056,167701,167437,167473,164769,135191
A2_2021_M3F_D0_2,217519,170878,170470,170566,167165,131354
A2_2021_M3F_D1_1,164211,132214,131935,132064,129786,103197
A2_2021_M3F_D1_2,195121,157762,157497,157575,155163,121637
A2_2021_M3F_D2_1,194034,154395,154074,154230,151328,115787
A2_2021_M3F_D2_2,140743,113625,113376,113477,111435,87362
A2_2021_M3N_D0_1,147146,118923,118692,118768,116945,95200
A2_2021_M3N_D0_2,168358,131569,131392,131410,129061,102194
A2_2021_M3N_D1_1,144441,113192,112998,113082,111159,90491
A2_2021_M3N_D1_2,132413,105216,105026,105091,103446,81039
A2_2021_M3N_D2_1,144025,113874,113593,113702,111507,90792
A2_2021_M3N_D2_2,157058,123707,123479,123572,121493,98399
A2_2021_N1,134190,94532,93810,94291,93048,86283
A2_2021_N2,129251,96498,95798,96214,94666,88369
A2_2021_T1_D0_1,139402,111858,111640,111698,109376,91135
A2_2021_T1_D0_2,155824,121948,121641,121749,120125,102483
A2_2021_T1_D0_3,93282,49178,49064,49025,47482,36986
A2_2021_T1_D0_4,184173,140587,140299,140402,139011,124706
