sample_id,input,filtered,denoised_r1,denoised_r2,merged,nochim
A2_2021_M2N_D2_4,133405,108593,75313,75397,56888,45582
A2_2021_M3F_D0_1,210056,167701,113879,114361,86534,70917
A2_2021_M3F_D0_2,217519,170878,113004,122481,90483,71332
A2_2021_M3F_D1_1,164211,132214,87021,94242,68621,54723
A2_2021_M3F_D1_2,195121,157762,110482,104572,79366,61703
A2_2021_M3F_D2_1,194034,154395,105442,104011,78235,59676
A2_2021_M3F_D2_2,140743,113625,76629,80267,59902,47023
A2_2021_M3N_D0_1,147146,118923,80239,81259,61029,49780
A2_2021_M3N_D0_2,168358,131569,85188,88088,63264,50091
A2_2021_M3N_D1_1,144441,113192,74004,78372,57182,46819
A2_2021_M3N_D1_2,132413,105216,70628,71011,53079,41541
A2_2021_M3N_D2_1,144025,113874,75990,79379,59611,48936
A2_2021_M3N_D2_2,157058,123707,81747,86041,63358,51446
A2_2021_N1,134190,94532,59400,57695,42842,39475
A2_2021_N2,129251,96498,63204,62125,47239,43684
A2_2021_T1_D0_1,139402,111858,75230,76090,55696,46020
A2_2021_T1_D0_2,155824,121948,81889,84684,62842,53262
A2_2021_T1_D0_3,93282,49178,27114,13473,7566,5681
A2_2021_T1_D0_4,184173,140587,95125,98079,73278,65040
