sample_id,input,filtered,denoised_r1,denoised_r2,merged,nochim
A2_2021_F1_D0_1,150600,121742,82879,88192,66517,47118
A2_2021_F1_D0_2,160932,128950,87961,91752,69451,51802
A2_2021_F1_D0_3,150077,122089,85573,85424,66136,46854
A2_2021_F1_D0_4,134714,109607,73664,80377,59143,43190
A2_2021_F1_D1_1,151965,122963,83052,84053,63282,46862
A2_2021_F1_D1_2,158259,125576,83871,89685,66456,49876
A2_2021_F1_D1_3,138108,111264,74524,81387,60026,43692
A2_2021_F1_D1_4,214770,174377,117690,125859,93106,67919
A2_2021_F1_D2_1,147938,117765,78716,81043,60703,48099
A2_2021_F1_D2_2,165991,134307,91269,92131,69170,54760
A2_2021_F1_D2_3,182547,148672,101528,105538,78877,58467
A2_2021_F1_D2_4,138371,110742,73745,76808,57034,44582
A2_2021_F2_D0_1,177823,144767,101270,101946,77772,61361
A2_2021_F2_D0_2,167790,136169,94922,93477,70481,56218
A2_2021_F2_D0_3,137667,110253,75485,78472,58819,47731
A2_2021_F2_D0_4,166654,136410,95964,95611,72752,57363
A2_2021_F2_D1_1,144729,117137,80597,82535,61858,49945
A2_2021_F2_D1_2,83655,65569,39110,45283,29443,24012
A2_2021_F2_D1_3,128485,102670,69613,71883,53218,43189
A2_2021_F2_D1_4,140812,112281,75124,76307,56727,44565
A2_2021_F2_D2_1,171169,138049,94872,94525,70746,58379
A2_2021_F2_D2_2,194918,157679,110073,109798,82667,67650
A2_2021_F2_D2_3,139895,113866,77686,79494,58757,48688
A2_2021_F2_D2_4,169256,133996,90664,95221,70472,58268
A2_2021_F3_D0_1,202886,165095,114219,115323,86480,68767
A2_2021_F3_D0_2,151455,123661,85052,86074,65172,51315
A2_2021_F3_D1_1,178938,145073,98062,103416,76708,60574
A2_2021_F3_D1_2,133413,108056,71706,75703,54713,44648
A2_2021_F3_D2_1,153779,123552,83915,84419,63643,50097
A2_2021_F3_D2_2,137703,110229,71778,78662,57237,42947
A2_2021_M1F_D0_1,134423,107530,73532,75415,56986,47140
A2_2021_M1F_D0_2,142077,112419,74407,79640,58698,46278
A2_2021_M1F_D0_3,158481,125104,84471,86254,64931,54164
A2_2021_M1F_D0_4,254762,197929,138077,130837,99046,83954
A2_2021_M1F_D1_1,199030,157754,109006,108397,82975,66894
A2_2021_M1F_D1_2,157879,126564,83864,89814,66243,51667
A2_2021_M1F_D1_3,169234,133185,89908,93446,70318,57447
A2_2021_M1F_D1_4,194714,155321,106872,104610,80230,61635
A2_2021_M1F_D2_1,132653,105466,69772,74945,54727,44716
A2_2021_M1F_D2_2,143144,115309,76960,79099,58877,47298
A2_2021_M1F_D2_3,151896,121892,82862,82722,62080,48937
A2_2021_M1F_D2_4,124917,98848,65371,67722,50133,40627
A2_2021_M1N_D0_1,128507,99851,62784,71160,49682,40786
A2_2021_M1N_D0_2,204742,162855,112763,115796,87777,70806
A2_2021_M1N_D0_3,129754,104604,70568,76061,56765,46124
A2_2021_M1N_D0_4,160690,126851,84517,86732,64236,51684
A2_2021_M1N_D1_1,139116,108314,72572,74023,55194,45558
A2_2021_M1N_D1_2,162083,130225,88106,94700,70871,55526
A2_2021_M1N_D1_3,186973,149520,105408,100155,77207,62465
A2_2021_M1N_D1_4,200844,162053,112592,111242,85274,66215
A2_2021_M1N_D2_1,152178,119936,82301,84203,63995,52648
A2_2021_M1N_D2_2,143751,116195,79240,80579,60732,47939
A2_2021_M1N_D2_3,138732,110691,74237,76317,57076,47925
A2_2021_M1N_D2_4,147906,112178,71661,65958,45278,35822
A2_2021_M2F_D0_1,209314,167359,110364,120116,88261,68590
A2_2021_M2F_D0_2,120300,95833,63206,69097,50292,38139
A2_2021_M2F_D0_3,140834,111376,71793,80612,57995,44557
A2_2021_M2F_D0_4,133345,106360,71380,75093,55951,41823
A2_2021_M2F_D1_1,162108,126877,78572,92406,63446,48277
A2_2021_M2F_D1_2,148810,117907,79409,79689,59716,48085
A2_2021_M2F_D1_3,138807,111267,72914,79374,58107,43790
A2_2021_M2F_D1_4,145812,118149,79915,84613,63911,46808
A2_2021_M2F_D2_1,199274,161806,111945,113015,85068,63926
A2_2021_M2F_D2_2,170331,138744,95075,97358,73517,54960
A2_2021_M2F_D2_3,124407,98773,64082,71016,51384,39063
A2_2021_M2F_D2_4,218652,176975,123915,119815,92585,68094
A2_2021_M2N_D0_1,138593,113222,75835,80800,60114,46364
A2_2021_M2N_D0_2,169632,134841,88318,96419,70222,52952
A2_2021_M2N_D0_3,187684,149102,99514,106839,79621,64494
A2_2021_M2N_D0_4,144266,115392,75961,83068,60439,45965
A2_2021_M2N_D1_1,149399,120571,82602,87465,66303,50313
A2_2021_M2N_D1_2,133278,108729,74014,77872,59066,42433
A2_2021_M2N_D1_3,133023,108661,74337,76510,57809,43926
A2_2021_M2N_D1_4,183183,148569,100635,105615,79802,57764
A2_2021_M2N_D2_1,143835,115256,77226,81982,61417,47019
A2_2021_M2N_D2_2,130448,104048,68176,73365,53952,40449
A2_2021_M2N_D2_3,142964,116114,78083,84386,63156,47479
