sample,input,filtered,denoisedF,denoisedR,merged,nochim
1-1,71156,67986,67950,67955,67622,67617
1-2,106556,99443,99346,99340,98285,97448
10-1,72544,69623,69577,69573,67757,60898
10-2,111752,106944,106885,106908,104891,100039
10-3,109313,104476,104414,104387,101380,90893
10-4,88758,84922,84872,84875,83316,79686
11-1,82612,78659,78607,78587,76480,70137
11-2,118364,112751,112688,112703,110681,105764
11-3,109609,104458,104393,104427,101938,92393
11-4,122080,116925,116853,116857,114464,109678
12-1,123988,118738,118672,118659,115716,105891
12-2,136320,131786,131724,131668,128825,123799
13-1,94139,89646,89614,89608,89196,89187
13-2,72910,69316,69290,69286,68975,68966
14-1,120947,113640,113548,113582,113109,108519
14-2,123712,115531,115352,115373,114057,102925
14-3,120131,112334,112250,112273,111781,107856
14-4,102656,93727,93583,93596,92460,84621
15-1,146282,138708,138631,138655,137957,135297
15-2,116674,110937,110852,110863,109859,103120
15-3,108263,102032,101979,101993,101602,99948
15-4,113034,105774,105670,105711,104765,98547
16-1,120273,112853,112754,112793,111995,108244
16-2,104333,96903,96774,96793,95444,86979
16-3,153580,144550,144449,144469,143618,137725
16-4,157430,148208,148069,148062,146711,136983
17-1,142085,135384,135301,135309,132099,119679
17-2,119068,114041,113940,113963,111565,106723
17-3,75873,73170,73112,73114,71165,65494
17-4,96239,91752,91685,91709,89699,86049
18-1,134849,128744,128676,128662,125294,115727
18-2,132860,126963,126885,126875,124149,116717
18-3,109392,104539,104476,104484,101971,92681
18-4,122007,117281,117216,117233,114336,108780
19-1,137012,130999,130923,130939,127892,117002
19-2,107649,102086,102036,102035,99651,94451
19-3,133833,127228,127140,127164,124104,114375
19-4,139983,133579,133478,133518,131268,124996
2-1,138990,130601,130531,130538,129901,128226
2-2,117019,108556,108386,108418,107075,101308
2-3,78990,75255,75223,75217,74921,74411
2-4,89349,83755,83657,83690,83007,79912
20-1,129782,124196,124090,124123,120998,108991
20-2,143909,137344,137271,137287,134501,127199
20-3,181938,173814,173665,173685,169635,153797
20-4,133893,127962,127903,127909,125246,118385
21-1,107758,102720,102652,102657,100129,90406
21-2,90471,86155,86107,86109,84010,78622
21-3,92083,88251,88154,88218,85848,77586
21-4,102750,98404,98359,98349,96148,87144
22-1,113476,107722,107622,107644,104405,93401
22-2,103946,99031,98978,98985,97074,91770
22-3,99458,95372,95311,95306,92942,83936
22-4,93757,89471,89414,89426,87321,81918
23-1,114076,108675,108614,108635,106084,96833
23-2,86565,82789,82736,82739,81023,76509
23-3,192620,183688,183576,183468,178555,162822
23-4,163003,155595,155520,155528,152630,143858
24-1,138032,132470,132372,132358,128245,116627
24-2,117593,112952,112858,112876,110443,103756
25-1,113376,103544,103460,103483,102534,101073
25-2,114257,108075,107870,107907,106528,97866
26-1,151436,142636,142532,142545,141446,136688
26-2,95834,90884,90794,90794,89939,83378
26-3,144413,135667,135554,135568,134754,129922
26-4,113119,107910,107734,107773,106403,97460
3-1,130473,122936,122875,122889,122360,121507
3-2,121227,114530,114473,114462,113554,109449
3-3,88292,83243,83188,83197,82831,82184
3-4,109639,102636,102532,102548,101678,97473
4-1,106520,99701,99643,99648,99079,98519
4-2,112138,104719,104646,104613,103730,99595
4-3,114431,108046,107976,107997,107029,106241
4-4,97099,91349,91287,91251,90419,87088
5-1,82449,79053,78954,78966,76415,68291
5-2,157099,150293,150209,150196,147115,138185
5-3,84231,80879,80806,80832,78842,70647
5-4,105968,100544,100510,100507,98680,95021
6-1,105898,100865,100809,100799,97871,86805
6-2,118881,113225,113163,113139,111180,105227
6-3,104931,100563,100491,100465,98035,87493
6-4,119524,113314,113249,113240,111069,105541
7-1,96549,92265,92203,92197,89611,81128
7-2,126428,121634,121539,121545,118769,113329
7-3,71166,68095,68041,68031,66221,59434
7-4,85928,82227,82161,82181,80791,77264
8-1,112352,107447,107349,107340,104741,95451
8-2,107809,102418,102344,102357,100313,95507
8-3,134448,128376,128274,128291,124991,114799
8-4,153352,146474,146380,146384,143774,137209
9-1,103254,98579,98504,98531,95650,86100
9-2,83976,80094,80044,80056,78488,74902
9-3,86100,81937,81859,81872,79556,70186
9-4,111066,106642,106591,106571,104261,99722
Water-NEGC,831,648,631,617,497,488
Zymo-POSC,131585,120407,120230,120170,118003,109286
