row,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12
A,21.9,0.1962,0.2609,10.3,5.7073,8.645,5.954,0.4654,10.4,6.489,5.949,4.3571
B,6.350599999999999,7.3401,24.3,21.3,5.8389999999999995,19.9,7.261,17.6,21.9,21.8,0.797,7.0920000000000005
C,7.406000000000001,1.141,26.1,0.2785,17.1,0.9255,0.1558,11.19,17.7,22.1,6.2860000000000005,0.5021
D,7.7402999999999995,9.611,17.1,6.896,9.269,7.96,0.7367,0.1722,7.682,0.23800000000000002,10.3,11.18
E,6.204,8.074,6.890599999999999,9.863,1.1587,8.373,7.575,22.6,8.372,0.917,11.3,0.8068000000000001
F,8.401,1.103,6.7461,13.6,0.6554000000000001,4.0927,8.999,9.917,0.9576,16.4,7.148,21.5
G,32.3,0.2868,0.9978,7.3251,6.8657,8.423300000000001,0.28300000000000003,4.138999999999999,17.2,19.3,22.4,23.3
H,0.6854,8.129,0.2944,19.9,19.9,5.752999999999999,7.671,4.6797,8.227,16.7,NA,NA
