sample_id,input,filtered,denoised_r1,denoised_r2,merged,nochim
A1_1_1,71156,70503,70469,70468,70277,70253
A1_1_2,106556,105242,105169,105109,103708,102695
A1_10_1,72544,72142,72097,72085,71057,63531
A1_10_2,111752,110911,110850,110846,109858,104716
A1_10_3,109313,108524,108457,108452,106883,95162
A1_10_4,88758,88166,88111,88099,87253,83260
A1_11_1,82612,81896,81840,81823,80656,73440
A1_11_2,118364,117535,117470,117467,116274,110779
A1_11_3,109609,108836,108787,108781,107503,96895
A1_11_4,122080,121228,121139,121140,119861,114273
A1_12_1,123988,123249,123178,123174,121697,110658
A1_12_2,136320,135617,135543,135544,133802,127934
A1_13_1,94139,93263,93225,93230,92883,92848
A1_13_2,72910,72126,72103,72103,71857,71840
A1_14_1,120947,119789,119698,119690,119221,114337
A1_14_2,123712,122158,121975,121886,120835,108485
A1_14_3,120131,118837,118735,118731,118240,113960
A1_14_4,102656,100983,100841,100811,99920,90688
A1_15_1,146282,145029,144913,144937,144308,141513
A1_15_2,116674,115723,115637,115596,114888,107392
A1_15_3,108263,107329,107255,107282,106890,104982
A1_15_4,113034,111886,111814,111758,111127,103935
A1_16_1,120273,119006,118896,118911,118240,114204
A1_16_2,104333,103059,102948,102889,101902,92236
A1_16_3,153580,152104,151987,151973,151254,144960
A1_16_4,157430,155852,155732,155620,154631,143855
A1_17_1,142085,141103,141028,141017,139406,125392
A1_17_2,119068,118309,118235,118225,116813,111379
A1_17_3,75873,75471,75418,75415,74372,67971
A1_17_4,96239,95361,95303,95301,94134,89970
A1_18_1,134849,133974,133917,133883,132144,121106
A1_18_2,132860,131979,131904,131860,130401,121856
A1_18_3,109392,108706,108637,108631,107347,96944
A1_18_4,122007,121308,121247,121230,119747,113001
A1_19_1,137012,136143,136079,136057,134439,122342
A1_19_2,107649,106805,106756,106732,105435,99190
A1_19_3,133833,132833,132771,132766,130974,120069
A1_19_4,139983,138998,138908,138900,137707,130407
A1_2_1,138990,137654,137568,137544,136926,134908
A1_2_2,117019,115543,115383,115369,113930,107492
A1_2_3,78990,78305,78265,78259,77958,77382
A1_2_4,89349,88382,88290,88278,87491,84288
A1_20_1,129782,129082,129015,128998,127304,113838
A1_20_2,143909,142982,142890,142897,141400,132981
A1_20_3,181938,180823,180693,180701,178346,160949
A1_20_4,133893,133040,132972,132950,131469,123653
A1_21_1,107758,107059,106990,106969,105546,94825
A1_21_2,90471,89657,89605,89604,88374,82142
A1_21_3,92083,91492,91428,91438,90193,80985
A1_21_4,102750,102144,102091,102069,100821,90870
A1_22_1,113476,112671,112573,112567,110599,98238
A1_22_2,103946,103099,103037,103039,101954,95887
A1_22_3,99458,98861,98810,98792,97446,87542
A1_22_4,93757,93062,93023,93000,91794,85618
A1_23_1,114076,113203,113142,113112,111612,101469
A1_23_2,86565,85852,85800,85778,84861,79783
A1_23_3,192620,191255,191145,191126,188299,170682
A1_23_4,163003,161823,161735,161682,159974,150241
A1_24_1,138032,137201,137126,137095,134911,121643
A1_24_2,117593,116867,116805,116681,115365,107640
A1_25_1,113376,111978,111887,111805,110210,108447
A1_25_2,114257,113125,113014,112924,112046,102379
A1_26_1,151436,149916,149780,149766,148658,143333
A1_26_2,95834,94959,94868,94873,94136,86917
A1_26_3,144413,142978,142862,142829,141968,136841
A1_26_4,113119,112232,112104,112038,110983,101047
A1_3_1,130473,129278,129187,129191,128627,127549
A1_3_2,121227,120161,120081,120067,119176,114621
A1_3_3,88292,87397,87329,87319,86909,86101
A1_3_4,109639,108442,108337,108314,107591,102781
A1_4_1,106520,105478,105386,105371,104793,104090
A1_4_2,112138,110805,110669,110658,109600,105115
A1_4_3,114431,113488,113403,113387,112423,111413
A1_4_4,97099,95958,95869,95863,95024,91264
A1_5_1,82449,81882,81790,81767,80288,71236
A1_5_2,157099,155957,155876,155851,154155,144017
A1_5_3,84231,83739,83704,83675,82702,73651
A1_5_4,105968,105088,105047,105027,103869,99700
A1_6_1,105898,105103,105038,105024,103365,91041
A1_6_2,118881,118090,118009,117961,116819,110249
A1_6_3,104931,104330,104277,104260,103113,91590
A1_6_4,119524,118498,118405,118395,117052,110916
A1_7_1,96549,95975,95907,95893,94443,85003
A1_7_2,126428,125710,125615,125607,124040,117595
A1_7_3,71166,70646,70606,70586,69724,62118
A1_7_4,85928,85308,85245,85240,84459,80592
A1_8_1,112352,111618,111523,111527,110219,99818
A1_8_2,107809,106883,106812,106803,105713,100178
A1_8_3,134448,133568,133481,133439,131600,120108
A1_8_4,153352,152350,152264,152255,150742,143156
A1_9_1,103254,102613,102563,102557,100838,90083
A1_9_2,83976,83333,83283,83287,82420,78688
A1_9_3,86100,85485,85429,85390,84058,73521
A1_9_4,111066,110231,110163,110157,108800,103747
A1_water_negc,831,787,785,759,582,548
A1_zymo_posc,131585,130169,129969,129953,128257,117958
