sample_id,input,filtered,denoised_r1,denoised_r2,merged,nochim
A1_1_1,71156,70503,60427,55941,52069,51173
A1_1_2,106556,105242,89430,78852,73496,71840
A1_10_1,72544,72142,60084,58025,51991,45862
A1_10_2,111752,110911,93798,88415,80567,75647
A1_10_3,109313,108524,91503,85564,77817,68301
A1_10_4,88758,88166,74163,68856,62552,58900
A1_11_1,82612,81896,69336,63619,57955,52162
A1_11_2,118364,117535,99604,91361,83681,78559
A1_11_3,109609,108836,92454,85865,78421,69459
A1_11_4,122080,121228,102539,97095,88296,82868
A1_12_1,123988,123249,104504,99044,90064,80572
A1_12_2,136320,135617,116696,111013,101804,95467
A1_13_1,94139,93263,80519,72909,68604,67532
A1_13_2,72910,72126,62427,56494,53061,52331
A1_14_1,120947,119789,96784,94567,84080,80341
A1_14_2,123712,122158,98052,95109,84314,75973
A1_14_3,120131,118837,95798,94998,84162,80938
A1_14_4,102656,100983,80368,74822,66883,61261
A1_15_1,146282,145029,120071,117108,105659,103139
A1_15_2,116674,115723,94248,91653,81702,76545
A1_15_3,108263,107329,87165,86355,76829,74966
A1_15_4,113034,111886,91012,85308,76494,71725
A1_16_1,120273,119006,97401,92346,83159,80171
A1_16_2,104333,103059,82838,75547,67796,61744
A1_16_3,153580,152104,124657,120038,107494,102755
A1_16_4,157430,155852,126265,123091,109313,101749
A1_17_1,142085,141103,119647,113211,103033,91410
A1_17_2,119068,118309,99904,95139,86317,81199
A1_17_3,75873,75471,63730,61272,55299,49857
A1_17_4,96239,95361,80439,76045,69128,65033
A1_18_1,134849,133974,112735,108139,97738,87773
A1_18_2,132860,131979,111880,104048,95015,87596
A1_18_3,109392,108706,91960,86591,78677,69978
A1_18_4,122007,121308,102572,97665,88686,82554
A1_19_1,137012,136143,115198,109470,99173,88728
A1_19_2,107649,106805,90162,81164,74336,69266
A1_19_3,133833,132833,111694,106179,96153,86721
A1_19_4,139983,138998,117178,111449,101304,94400
A1_2_1,138990,137654,112265,105841,95471,93822
A1_2_2,117019,115543,93201,85738,77008,72337
A1_2_3,78990,78305,63984,63070,56153,55496
A1_2_4,89349,88382,71422,66593,59367,57004
A1_20_1,129782,129082,108849,104054,94104,83022
A1_20_2,143909,142982,120228,115349,104485,97052
A1_20_3,181938,180823,155357,144522,132497,117320
A1_20_4,133893,133040,112357,104817,95470,88783
A1_21_1,107758,107059,91333,81859,75285,66818
A1_21_2,90471,89657,75044,68906,62662,57631
A1_21_3,92083,91492,76771,72317,65422,58035
A1_21_4,102750,102144,86611,83821,75697,67030
A1_22_1,113476,112671,95426,85439,78021,68424
A1_22_2,103946,103099,86333,82774,74910,69390
A1_22_3,99458,98861,83023,78909,71151,62986
A1_22_4,93757,93062,77947,72116,65326,60274
A1_23_1,114076,113203,95515,88817,80797,72322
A1_23_2,86565,85852,71431,68557,61515,57030
A1_23_3,192620,191255,163742,151768,139083,123396
A1_23_4,163003,161823,137149,127764,116404,107655
A1_24_1,138032,137201,116527,109926,100242,89121
A1_24_2,117593,116867,98932,93464,85278,78730
A1_25_1,113376,111978,90900,82429,74131,72814
A1_25_2,114257,113125,91167,88112,78236,71453
A1_26_1,151436,149916,122775,117779,105486,101584
A1_26_2,95834,94959,75764,75018,65447,60340
A1_26_3,144413,142978,116735,113432,101125,97099
A1_26_4,113119,112232,90626,88010,77969,71025
A1_3_1,130473,129278,106279,102663,92155,90668
A1_3_2,121227,120161,97426,91181,82057,78839
A1_3_3,88292,87397,71256,69186,61715,60992
A1_3_4,109639,108442,88218,81227,73255,69931
A1_4_1,106520,105478,84442,81916,72479,71787
A1_4_2,112138,110805,89576,85993,76700,73350
A1_4_3,114431,113488,92278,88453,78998,78041
A1_4_4,97099,95958,77602,74825,66547,63714
A1_5_1,82449,81882,68810,64749,58627,51337
A1_5_2,157099,155957,131640,125615,114232,105280
A1_5_3,84231,83739,70653,67877,61100,53352
A1_5_4,105968,105088,89280,79792,73606,69358
A1_6_1,105898,105103,88919,80566,73598,63945
A1_6_2,118881,118090,100474,90857,83575,78064
A1_6_3,104931,104330,88083,82800,75150,65613
A1_6_4,119524,118498,100386,90779,83432,78174
A1_7_1,96549,95975,80853,74244,67535,59773
A1_7_2,126428,125710,107217,101820,93115,87232
A1_7_3,71166,70646,59213,56661,50914,44769
A1_7_4,85928,85308,72188,68754,62486,58706
A1_8_1,112352,111618,94478,88885,80729,71954
A1_8_2,107809,106883,90117,84080,76597,71741
A1_8_3,134448,133568,113127,106303,96638,86593
A1_8_4,153352,152350,130024,121445,111319,103775
A1_9_1,103254,102613,86144,81170,73490,64592
A1_9_2,83976,83333,69962,64684,58747,55016
A1_9_3,86100,85485,71921,65409,59488,51446
A1_9_4,111066,110231,92992,88887,80623,75547
A1_water_negc,831,787,404,279,205,193
A1_zymo_posc,131585,130169,94074,100796,81175,73727
