dna_sample_id,specimen_id,aliquot_number,specimen_type,collection_week,collection_day,collection_date,host_species,host_sex,extraction_batch,extraction_date,number_of_pellets,number_of_aliquots,protocol,dna_conc,well,A2,A1,S2,S1
15_1,15,1,inoculum,5,2,2019-10-08,NA,NA,2,2019-12-11,5,4,P1,0.4654,A8,TRUE,TRUE,TRUE,TRUE
15_2,15,2,inoculum,5,2,2019-10-08,NA,NA,2,2019-12-11,5,4,P2,6.489,A10,TRUE,TRUE,TRUE,TRUE
15_3,15,3,inoculum,5,2,2019-10-08,NA,NA,2,2019-12-11,5,4,P1,0.5021,C12,TRUE,TRUE,TRUE,TRUE
15_4,15,4,inoculum,5,2,2019-10-08,NA,NA,2,2019-12-11,5,4,P2,4.139,G8,TRUE,TRUE,TRUE,TRUE
16_1,16,1,inoculum,5,3,2019-10-09,NA,NA,2,2019-12-11,6,4,P1,1.103,F2,TRUE,TRUE,TRUE,TRUE
16_2,16,2,inoculum,5,3,2019-10-09,NA,NA,2,2019-12-11,6,4,P2,8.372,E9,TRUE,TRUE,TRUE,TRUE
16_3,16,3,inoculum,5,3,2019-10-09,NA,NA,2,2019-12-11,6,4,P1,1.141,C2,TRUE,TRUE,TRUE,TRUE
16_4,16,4,inoculum,5,3,2019-10-09,NA,NA,2,2019-12-11,6,4,P2,9.611,D2,TRUE,TRUE,TRUE,TRUE
17_1,17,1,fecal,6,4,2019-10-17,mouse,female,2,2019-12-11,1,4,P1,9.917,F8,TRUE,TRUE,TRUE,TRUE
17_2,17,2,fecal,6,4,2019-10-17,mouse,female,2,2019-12-11,1,4,P2,5.839,B5,TRUE,TRUE,TRUE,TRUE
17_3,17,3,fecal,6,4,2019-10-17,mouse,female,2,2019-12-11,1,4,P1,10.3,A4,TRUE,TRUE,TRUE,TRUE
17_4,17,4,fecal,6,4,2019-10-17,mouse,female,2,2019-12-11,1,4,P2,7.148,F11,TRUE,TRUE,TRUE,TRUE
18_1,18,1,fecal,6,4,2019-10-17,mouse,female,2,2019-12-11,1,4,P1,11.18,D12,TRUE,TRUE,TRUE,TRUE
18_2,18,2,fecal,6,4,2019-10-17,mouse,female,2,2019-12-11,1,4,P2,8.129,H2,TRUE,TRUE,TRUE,TRUE
18_3,18,3,fecal,6,4,2019-10-17,mouse,female,2,2019-12-11,1,4,P1,11.19,C8,TRUE,TRUE,TRUE,TRUE
18_4,18,4,fecal,6,4,2019-10-17,mouse,female,2,2019-12-11,1,4,P2,7.092,B12,TRUE,TRUE,TRUE,TRUE
19_1,19,1,fecal,6,4,2019-10-17,mouse,female,2,2019-12-11,1,4,P1,7.406,C1,TRUE,TRUE,TRUE,TRUE
19_2,19,2,fecal,6,4,2019-10-17,mouse,female,2,2019-12-11,1,4,P2,8.373,E6,TRUE,TRUE,TRUE,TRUE
19_3,19,3,fecal,6,4,2019-10-17,mouse,female,2,2019-12-11,1,4,P1,7.682,D9,TRUE,TRUE,TRUE,TRUE
19_4,19,4,fecal,6,4,2019-10-17,mouse,female,2,2019-12-11,1,4,P2,7.96,D6,TRUE,TRUE,TRUE,TRUE
20_1,20,1,fecal,6,4,2019-10-17,mouse,female,2,2019-12-11,1,4,P1,17.1,C5,TRUE,TRUE,TRUE,TRUE
20_2,20,2,fecal,6,4,2019-10-17,mouse,female,2,2019-12-11,1,4,P2,9.269,D5,TRUE,TRUE,TRUE,TRUE
20_3,20,3,fecal,6,4,2019-10-17,mouse,female,2,2019-12-11,1,4,P1,16.7,H10,TRUE,TRUE,TRUE,FALSE
20_4,20,4,fecal,6,4,2019-10-17,mouse,female,2,2019-12-11,1,4,P2,5.753,H6,TRUE,TRUE,TRUE,FALSE
21_1,21,1,fecal,6,4,2019-10-17,mouse,male,2,2019-12-11,1,4,P1,19.3,G10,TRUE,TRUE,TRUE,TRUE
21_2,21,2,fecal,6,4,2019-10-17,mouse,male,2,2019-12-11,1,4,P2,11.3,E11,TRUE,TRUE,TRUE,TRUE
21_3,21,3,fecal,6,4,2019-10-17,mouse,male,2,2019-12-11,1,4,P1,19.9,B6,TRUE,TRUE,TRUE,TRUE
21_4,21,4,fecal,6,4,2019-10-17,mouse,male,2,2019-12-11,1,4,P2,17.1,D3,TRUE,TRUE,TRUE,TRUE
22_1,22,1,fecal,6,4,2019-10-17,mouse,male,2,2019-12-11,1,4,P1,17.2,G9,TRUE,TRUE,TRUE,TRUE
22_2,22,2,fecal,6,4,2019-10-17,mouse,male,2,2019-12-11,1,4,P2,10.3,D11,TRUE,TRUE,TRUE,TRUE
22_3,22,3,fecal,6,4,2019-10-17,mouse,male,2,2019-12-11,1,4,P1,19.9,H4,TRUE,TRUE,TRUE,TRUE
22_4,22,4,fecal,6,4,2019-10-17,mouse,male,2,2019-12-11,1,4,P2,9.863,E4,TRUE,TRUE,TRUE,TRUE
23_1,23,1,fecal,6,4,2019-10-17,mouse,male,2,2019-12-11,1,4,P1,8.999,F7,TRUE,TRUE,TRUE,TRUE
23_2,23,2,fecal,6,4,2019-10-17,mouse,male,2,2019-12-11,1,4,P2,6.286,C11,TRUE,TRUE,TRUE,TRUE
23_3,23,3,fecal,6,4,2019-10-17,mouse,male,2,2019-12-11,1,4,P1,8.227,H9,TRUE,TRUE,TRUE,FALSE
23_4,23,4,fecal,6,4,2019-10-17,mouse,male,2,2019-12-11,1,4,P2,7.671,H7,TRUE,TRUE,TRUE,FALSE
24_1,24,1,fecal,6,4,2019-10-17,mouse,male,2,2019-12-11,1,4,P1,10.4,A9,TRUE,TRUE,TRUE,TRUE
24_2,24,2,fecal,6,4,2019-10-17,mouse,male,2,2019-12-11,1,4,P2,8.645,A6,TRUE,TRUE,TRUE,TRUE
24_3,24,3,fecal,6,4,2019-10-17,mouse,male,2,2019-12-11,1,4,P1,10.5,NA,NA,NA,NA,NA
24_4,24,4,fecal,6,4,2019-10-17,mouse,male,2,2019-12-11,1,4,P2,8.992,NA,NA,NA,NA,NA
25_1,25,1,inoculum,1,1,2019-09-09,NA,NA,2,2019-12-11,4,2,P1,0.2868,G2,TRUE,TRUE,TRUE,TRUE
25_2,25,2,inoculum,1,1,2019-09-09,NA,NA,2,2019-12-11,4,2,P2,7.261,B7,TRUE,TRUE,TRUE,TRUE
26_1,26,1,inoculum,1,2,2019-09-10,NA,NA,2,2019-12-11,6,4,P1,0.6854,H1,TRUE,TRUE,TRUE,TRUE
26_2,26,2,inoculum,1,2,2019-09-10,NA,NA,2,2019-12-11,6,4,P2,6.896,D4,TRUE,TRUE,TRUE,TRUE
26_3,26,3,inoculum,1,2,2019-09-10,NA,NA,2,2019-12-11,6,4,P1,0.1722,D8,TRUE,TRUE,TRUE,TRUE
26_4,26,4,inoculum,1,2,2019-09-10,NA,NA,2,2019-12-11,6,4,P2,5.954,A7,TRUE,TRUE,TRUE,TRUE
