fkPLATE_ID,SampleWellThreeCharacter,SampleID,cCopies,cCV
1,A01,,,
1,A02,,,
1,A03,,,
1,A04,,,
1,A05,,,
1,A06,,,
1,A07,,,
1,A08,,,
1,A09,,,
1,A10,,,
1,A11,,,
1,A12,,,
1,B01,,,
1,B02,,,
1,B03,,,
1,B04,,,
1,B05,,,
1,B06,,,
1,B07,,,
1,B08,,,
1,B09,,,
1,B10,,,
1,B11,,,
1,B12,,,
1,C01,,,
1,C02,,,
1,C03,,,
1,C04,,,
1,C05,,,
1,C06,,,
1,C07,,,
1,C08,,,
1,C09,,,
1,C10,,,
1,C11,,,
1,C12,,,
1,D01,,,
1,D02,,,
1,D03,,,
1,D04,,,
1,D05,,,
1,D06,,,
1,D07,,,
1,D08,,,
1,D09,,,
1,D10,,,
1,D11,,,
1,D12,,,
1,E01,F1_D1_4,3106346,0.158013226
1,E02,F1_D2_2,,
1,E03,M1F_D0_4,120621866,0.186676511
1,E04,T1_D0_3,8089572,0.195024245
1,E05,M3F_D1_2,28543112,0.177124954
1,E06,M2N_D0_1,572866386,0.139257931
1,E07,M3F_D1_1,60326194,0.144830894
1,E08,F3_D0_2,2812040,0.234483235
1,E09,M1F_D2_2,4519188,0.085447097
1,E10,M3N_D0_1,638978367,0.128700166
1,E11,M2N_D1_3,68645638,0.117547116
1,E12,F2_D2_3,1095264,0.010100337
1,F01,M2F_D1_1,81856965,0.086047392
1,F02,M2F_D0_1,611324700,0.132858902
1,F03,M3F_D2_1,724533,0.257026231
1,F04,M2N_D0_4,267735590,0.169004341
1,F05,M3F_D2_2,6164659,0.051323045
1,F06,M1N_D0_1,653990980,0.186019378
1,F07,M2F_D0_3,675703916,0.115000759
1,F08,M3N_D1_1,38257665,0.118669624
1,F09,M2N_D2_2,5077460,0.100588644
1,F10,M2F_D1_3,68842746,0.089352296
1,F11,M2F_D2_3,6082567,0.128323189
1,F12,M2N_D0_2,230381263,0.189112953
1,G01,T1_D0_4,3368738,0.139190236
1,G02,F3_D0_1,65761250,0.111952113
1,G03,M1N_D1_4,31680199,0.175345351
1,G04,M1N_D0_3,504244009,0.171674084
1,G05,F1_D0_4,7275245,0.035467165
1,G06,M1F_D1_2,27765023,0.167095081
1,G07,M2N_D2_3,3107850,0.15979752
1,G08,M1F_D0_1,555483111,0.109785169
1,G09,F2_D1_1,14718687,0.14117025
1,G10,M1F_D2_1,5203004,0.171457616
1,G11,F3_D1_2,2462811,0.080387281
1,G12,M1N_D2_3,964017,0.33159834
1,H01,M1F_D1_3,41534736,0.123860158
1,H02,M1F_D0_3,564364273,0.101345061
1,H03,M1F_D1_4,28127939,0.216355798
1,H04,F1_D1_3,1753585,0.032010466
1,H05,M3N_D1_2,39374129,0.209783766
1,H06,F1_D2_1,243013,0.234426965
1,H07,F1_D1_2,1192657,0.092018444
1,H08,F2_D1_3,12230712,0.158572752
1,H09,M1N_D0_4,235422296,0.104666222
1,H10,F2_D1_2,11265635,0.109585185
1,H11,,,
1,H12,,,
