sample_id,center_id,dna_sample_id,path_r1,path_r2
A1_26_2,A1,26_2,data/a1/reads/raw/26-2_S40_L001_R1_001.fastq.gz,data/a1/reads/raw/26-2_S40_L001_R2_001.fastq.gz
A1_26_3,A1,26_3,data/a1/reads/raw/26-3_S44_L001_R1_001.fastq.gz,data/a1/reads/raw/26-3_S44_L001_R2_001.fastq.gz
A1_26_4,A1,26_4,data/a1/reads/raw/26-4_S7_L001_R1_001.fastq.gz,data/a1/reads/raw/26-4_S7_L001_R2_001.fastq.gz
A1_water_negc,A1,NA,data/a1/reads/raw/Water-NEGC_S96_L001_R1_001.fastq.gz,data/a1/reads/raw/Water-NEGC_S96_L001_R2_001.fastq.gz
A1_zymo_posc,A1,NA,data/a1/reads/raw/Zymo-POSC_S95_L001_R1_001.fastq.gz,data/a1/reads/raw/Zymo-POSC_S95_L001_R2_001.fastq.gz
S1_1_1,S1,1_1,data/s1/reads/raw/1_1.fastq.gz,NA
S1_1_2,S1,1_2,data/s1/reads/raw/1_2.fastq.gz,NA
S1_2_1,S1,2_1,data/s1/reads/raw/2_1.fastq.gz,NA
S1_2_2,S1,2_2,data/s1/reads/raw/2_2.fastq.gz,NA
S1_2_3,S1,2_3,data/s1/reads/raw/2_3.fastq.gz,NA
S1_2_4,S1,2_4,data/s1/reads/raw/2_4.fastq.gz,NA
S1_3_1,S1,3_1,data/s1/reads/raw/3_1.fastq.gz,NA
S1_3_2,S1,3_2,data/s1/reads/raw/3_2.fastq.gz,NA
S1_3_3,S1,3_3,data/s1/reads/raw/3_3.fastq.gz,NA
S1_3_4,S1,3_4,data/s1/reads/raw/3_4.fastq.gz,NA
S1_4_1,S1,4_1,data/s1/reads/raw/4_1.fastq.gz,NA
S1_4_2,S1,4_2,data/s1/reads/raw/4_2.fastq.gz,NA
S1_4_3,S1,4_3,data/s1/reads/raw/4_3.fastq.gz,NA
S1_4_4,S1,4_4,data/s1/reads/raw/4_4.fastq.gz,NA
