dna_sample_id,specimen_id,aliquot_number,specimen_type,collection_week,collection_day,collection_date,host_species,host_sex,extraction_batch,extraction_date,number_of_pellets,number_of_aliquots,volume_pbs,volume_per_aliquot,extraction_protocol,dna_conc,dna_conc_s1,dna_conc_s2,well,row,column,A1,A2,S1,S2
9_2,9,2,Fecal,2,4,2019-09-19,Mouse,Male,1,2019-12-03,1,4,1000,200,2,6.8906,3.847,8.34,E3,E,3,TRUE,TRUE,TRUE,TRUE
9_3,9,3,Fecal,2,4,2019-09-19,Mouse,Male,1,2019-12-03,1,4,1000,200,1,22.6,26.267,52.6,E8,E,8,TRUE,TRUE,TRUE,TRUE
9_4,9,4,Fecal,2,4,2019-09-19,Mouse,Male,1,2019-12-03,1,4,1000,200,2,5.949,6.075,10.6,A11,A,11,TRUE,TRUE,TRUE,TRUE
10_1,10,1,Fecal,2,4,2019-09-19,Mouse,Male,1,2019-12-03,1,4,1000,200,1,21.3,22.63,54.2,B4,B,4,TRUE,TRUE,TRUE,TRUE
10_2,10,2,Fecal,2,4,2019-09-19,Mouse,Male,1,2019-12-03,1,4,1000,200,2,7.3401,4.298,12.1,B2,B,2,TRUE,TRUE,TRUE,TRUE
10_3,10,3,Fecal,2,4,2019-09-19,Mouse,Male,1,2019-12-03,1,4,1000,200,1,21.9,24.49,26.8,B9,B,9,TRUE,TRUE,TRUE,TRUE
10_4,10,4,Fecal,2,4,2019-09-19,Mouse,Male,1,2019-12-03,1,4,1000,200,2,7.3251,4.889,13.7,G4,G,4,TRUE,TRUE,TRUE,TRUE
11_1,11,1,Fecal,2,4,2019-09-19,Mouse,Male,1,2019-12-03,1,4,1000,200,1,22.4,15.215,22.8,G11,G,11,TRUE,TRUE,TRUE,TRUE
11_2,11,2,Fecal,2,4,2019-09-19,Mouse,Male,1,2019-12-03,1,4,1000,200,2,6.8657,4.792,9.6,G5,G,5,TRUE,TRUE,TRUE,TRUE
11_3,11,3,Fecal,2,4,2019-09-19,Mouse,Male,1,2019-12-03,1,4,1000,200,1,16.4,17.309,24.2,F10,F,10,TRUE,TRUE,TRUE,TRUE
