center_id,dna_sample_id,file,path,read
A1,15_4,15-4_S80_L001_R1_001.fastq.gz,data/a1/reads/raw/15-4_S80_L001_R1_001.fastq.gz,R1
A1,15_4,15-4_S80_L001_R2_001.fastq.gz,data/a1/reads/raw/15-4_S80_L001_R2_001.fastq.gz,R2
A1,16_1,16-1_S62_L001_R1_001.fastq.gz,data/a1/reads/raw/16-1_S62_L001_R1_001.fastq.gz,R1
A1,16_1,16-1_S62_L001_R2_001.fastq.gz,data/a1/reads/raw/16-1_S62_L001_R2_001.fastq.gz,R2
A1,16_2,16-2_S57_L001_R1_001.fastq.gz,data/a1/reads/raw/16-2_S57_L001_R1_001.fastq.gz,R1
A1,16_2,16-2_S57_L001_R2_001.fastq.gz,data/a1/reads/raw/16-2_S57_L001_R2_001.fastq.gz,R2
A1,16_3,16-3_S26_L001_R1_001.fastq.gz,data/a1/reads/raw/16-3_S26_L001_R1_001.fastq.gz,R1
A1,16_3,16-3_S26_L001_R2_001.fastq.gz,data/a1/reads/raw/16-3_S26_L001_R2_001.fastq.gz,R2
A1,16_4,16-4_S38_L001_R1_001.fastq.gz,data/a1/reads/raw/16-4_S38_L001_R1_001.fastq.gz,R1
A1,16_4,16-4_S38_L001_R2_001.fastq.gz,data/a1/reads/raw/16-4_S38_L001_R2_001.fastq.gz,R2
A1,17_1,17-1_S68_L001_R1_001.fastq.gz,data/a1/reads/raw/17-1_S68_L001_R1_001.fastq.gz,R1
A1,17_1,17-1_S68_L001_R2_001.fastq.gz,data/a1/reads/raw/17-1_S68_L001_R2_001.fastq.gz,R2
A1,17_2,17-2_S17_L001_R1_001.fastq.gz,data/a1/reads/raw/17-2_S17_L001_R1_001.fastq.gz,R1
A1,17_2,17-2_S17_L001_R2_001.fastq.gz,data/a1/reads/raw/17-2_S17_L001_R2_001.fastq.gz,R2
A1,17_3,17-3_S4_L001_R1_001.fastq.gz,data/a1/reads/raw/17-3_S4_L001_R1_001.fastq.gz,R1
A1,17_3,17-3_S4_L001_R2_001.fastq.gz,data/a1/reads/raw/17-3_S4_L001_R2_001.fastq.gz,R2
A1,17_4,17-4_S71_L001_R1_001.fastq.gz,data/a1/reads/raw/17-4_S71_L001_R1_001.fastq.gz,R1
A1,17_4,17-4_S71_L001_R2_001.fastq.gz,data/a1/reads/raw/17-4_S71_L001_R2_001.fastq.gz,R2
A1,18_1,18-1_S48_L001_R1_001.fastq.gz,data/a1/reads/raw/18-1_S48_L001_R1_001.fastq.gz,R1
A1,18_1,18-1_S48_L001_R2_001.fastq.gz,data/a1/reads/raw/18-1_S48_L001_R2_001.fastq.gz,R2
A1,18_2,18-2_S86_L001_R1_001.fastq.gz,data/a1/reads/raw/18-2_S86_L001_R1_001.fastq.gz,R1
A1,18_2,18-2_S86_L001_R2_001.fastq.gz,data/a1/reads/raw/18-2_S86_L001_R2_001.fastq.gz,R2
A1,18_3,18-3_S32_L001_R1_001.fastq.gz,data/a1/reads/raw/18-3_S32_L001_R1_001.fastq.gz,R1
A1,18_3,18-3_S32_L001_R2_001.fastq.gz,data/a1/reads/raw/18-3_S32_L001_R2_001.fastq.gz,R2
A1,18_4,18-4_S24_L001_R1_001.fastq.gz,data/a1/reads/raw/18-4_S24_L001_R1_001.fastq.gz,R1
A1,18_4,18-4_S24_L001_R2_001.fastq.gz,data/a1/reads/raw/18-4_S24_L001_R2_001.fastq.gz,R2
A1,19_1,19-1_S25_L001_R1_001.fastq.gz,data/a1/reads/raw/19-1_S25_L001_R1_001.fastq.gz,R1
A1,19_1,19-1_S25_L001_R2_001.fastq.gz,data/a1/reads/raw/19-1_S25_L001_R2_001.fastq.gz,R2
A1,19_2,19-2_S54_L001_R1_001.fastq.gz,data/a1/reads/raw/19-2_S54_L001_R1_001.fastq.gz,R1
A1,19_2,19-2_S54_L001_R2_001.fastq.gz,data/a1/reads/raw/19-2_S54_L001_R2_001.fastq.gz,R2
A1,19_3,19-3_S45_L001_R1_001.fastq.gz,data/a1/reads/raw/19-3_S45_L001_R1_001.fastq.gz,R1
A1,19_3,19-3_S45_L001_R2_001.fastq.gz,data/a1/reads/raw/19-3_S45_L001_R2_001.fastq.gz,R2
A1,19_4,19-4_S42_L001_R1_001.fastq.gz,data/a1/reads/raw/19-4_S42_L001_R1_001.fastq.gz,R1
A1,19_4,19-4_S42_L001_R2_001.fastq.gz,data/a1/reads/raw/19-4_S42_L001_R2_001.fastq.gz,R2
A1,2_1,2-1_S79_L001_R1_001.fastq.gz,data/a1/reads/raw/2-1_S79_L001_R1_001.fastq.gz,R1
A1,2_1,2-1_S79_L001_R2_001.fastq.gz,data/a1/reads/raw/2-1_S79_L001_R2_001.fastq.gz,R2
A1,2_2,2-2_S53_L001_R1_001.fastq.gz,data/a1/reads/raw/2-2_S53_L001_R1_001.fastq.gz,R1
A1,2_2,2-2_S53_L001_R2_001.fastq.gz,data/a1/reads/raw/2-2_S53_L001_R2_001.fastq.gz,R2
A1,2_3,2-3_S3_L001_R1_001.fastq.gz,data/a1/reads/raw/2-3_S3_L001_R1_001.fastq.gz,R1
A1,2_3,2-3_S3_L001_R2_001.fastq.gz,data/a1/reads/raw/2-3_S3_L001_R2_001.fastq.gz,R2
A1,2_4,2-4_S75_L001_R1_001.fastq.gz,data/a1/reads/raw/2-4_S75_L001_R1_001.fastq.gz,R1
A1,2_4,2-4_S75_L001_R2_001.fastq.gz,data/a1/reads/raw/2-4_S75_L001_R2_001.fastq.gz,R2
A1,20_1,20-1_S29_L001_R1_001.fastq.gz,data/a1/reads/raw/20-1_S29_L001_R1_001.fastq.gz,R1
A1,20_1,20-1_S29_L001_R2_001.fastq.gz,data/a1/reads/raw/20-1_S29_L001_R2_001.fastq.gz,R2
A1,20_2,20-2_S41_L001_R1_001.fastq.gz,data/a1/reads/raw/20-2_S41_L001_R1_001.fastq.gz,R1
A1,20_2,20-2_S41_L001_R2_001.fastq.gz,data/a1/reads/raw/20-2_S41_L001_R2_001.fastq.gz,R2
A1,20_3,20-3_S94_L001_R1_001.fastq.gz,data/a1/reads/raw/20-3_S94_L001_R1_001.fastq.gz,R1
A1,20_3,20-3_S94_L001_R2_001.fastq.gz,data/a1/reads/raw/20-3_S94_L001_R2_001.fastq.gz,R2
A1,20_4,20-4_S90_L001_R1_001.fastq.gz,data/a1/reads/raw/20-4_S90_L001_R1_001.fastq.gz,R1
A1,20_4,20-4_S90_L001_R2_001.fastq.gz,data/a1/reads/raw/20-4_S90_L001_R2_001.fastq.gz,R2
A1,21_1,21-1_S82_L001_R1_001.fastq.gz,data/a1/reads/raw/21-1_S82_L001_R1_001.fastq.gz,R1
A1,21_1,21-1_S82_L001_R2_001.fastq.gz,data/a1/reads/raw/21-1_S82_L001_R2_001.fastq.gz,R2
A1,21_2,21-2_S59_L001_R1_001.fastq.gz,data/a1/reads/raw/21-2_S59_L001_R1_001.fastq.gz,R1
A1,21_2,21-2_S59_L001_R2_001.fastq.gz,data/a1/reads/raw/21-2_S59_L001_R2_001.fastq.gz,R2
A1,21_3,21-3_S18_L001_R1_001.fastq.gz,data/a1/reads/raw/21-3_S18_L001_R1_001.fastq.gz,R1
A1,21_3,21-3_S18_L001_R2_001.fastq.gz,data/a1/reads/raw/21-3_S18_L001_R2_001.fastq.gz,R2
A1,21_4,21-4_S39_L001_R1_001.fastq.gz,data/a1/reads/raw/21-4_S39_L001_R1_001.fastq.gz,R1
A1,21_4,21-4_S39_L001_R2_001.fastq.gz,data/a1/reads/raw/21-4_S39_L001_R2_001.fastq.gz,R2
A1,22_1,22-1_S81_L001_R1_001.fastq.gz,data/a1/reads/raw/22-1_S81_L001_R1_001.fastq.gz,R1
A1,22_1,22-1_S81_L001_R2_001.fastq.gz,data/a1/reads/raw/22-1_S81_L001_R2_001.fastq.gz,R2
A1,22_2,22-2_S47_L001_R1_001.fastq.gz,data/a1/reads/raw/22-2_S47_L001_R1_001.fastq.gz,R1
A1,22_2,22-2_S47_L001_R2_001.fastq.gz,data/a1/reads/raw/22-2_S47_L001_R2_001.fastq.gz,R2
A1,22_3,22-3_S88_L001_R1_001.fastq.gz,data/a1/reads/raw/22-3_S88_L001_R1_001.fastq.gz,R1
A1,22_3,22-3_S88_L001_R2_001.fastq.gz,data/a1/reads/raw/22-3_S88_L001_R2_001.fastq.gz,R2
A1,22_4,22-4_S52_L001_R1_001.fastq.gz,data/a1/reads/raw/22-4_S52_L001_R1_001.fastq.gz,R1
A1,22_4,22-4_S52_L001_R2_001.fastq.gz,data/a1/reads/raw/22-4_S52_L001_R2_001.fastq.gz,R2
A1,23_1,23-1_S67_L001_R1_001.fastq.gz,data/a1/reads/raw/23-1_S67_L001_R1_001.fastq.gz,R1
A1,23_1,23-1_S67_L001_R2_001.fastq.gz,data/a1/reads/raw/23-1_S67_L001_R2_001.fastq.gz,R2
A1,23_2,23-2_S35_L001_R1_001.fastq.gz,data/a1/reads/raw/23-2_S35_L001_R1_001.fastq.gz,R1
A1,23_2,23-2_S35_L001_R2_001.fastq.gz,data/a1/reads/raw/23-2_S35_L001_R2_001.fastq.gz,R2
A1,23_3,23-3_S93_L001_R1_001.fastq.gz,data/a1/reads/raw/23-3_S93_L001_R1_001.fastq.gz,R1
A1,23_3,23-3_S93_L001_R2_001.fastq.gz,data/a1/reads/raw/23-3_S93_L001_R2_001.fastq.gz,R2
A1,23_4,23-4_S91_L001_R1_001.fastq.gz,data/a1/reads/raw/23-4_S91_L001_R1_001.fastq.gz,R1
A1,23_4,23-4_S91_L001_R2_001.fastq.gz,data/a1/reads/raw/23-4_S91_L001_R2_001.fastq.gz,R2
A1,24_1,24-1_S9_L001_R1_001.fastq.gz,data/a1/reads/raw/24-1_S9_L001_R1_001.fastq.gz,R1
A1,24_1,24-1_S9_L001_R2_001.fastq.gz,data/a1/reads/raw/24-1_S9_L001_R2_001.fastq.gz,R2
A1,24_2,24-2_S6_L001_R1_001.fastq.gz,data/a1/reads/raw/24-2_S6_L001_R1_001.fastq.gz,R1
A1,24_2,24-2_S6_L001_R2_001.fastq.gz,data/a1/reads/raw/24-2_S6_L001_R2_001.fastq.gz,R2
A1,25_1,25-1_S74_L001_R1_001.fastq.gz,data/a1/reads/raw/25-1_S74_L001_R1_001.fastq.gz,R1
A1,25_1,25-1_S74_L001_R2_001.fastq.gz,data/a1/reads/raw/25-1_S74_L001_R2_001.fastq.gz,R2
A1,25_2,25-2_S19_L001_R1_001.fastq.gz,data/a1/reads/raw/25-2_S19_L001_R1_001.fastq.gz,R1
A1,25_2,25-2_S19_L001_R2_001.fastq.gz,data/a1/reads/raw/25-2_S19_L001_R2_001.fastq.gz,R2
A1,26_1,26-1_S85_L001_R1_001.fastq.gz,data/a1/reads/raw/26-1_S85_L001_R1_001.fastq.gz,R1
A1,26_1,26-1_S85_L001_R2_001.fastq.gz,data/a1/reads/raw/26-1_S85_L001_R2_001.fastq.gz,R2
A1,26_2,26-2_S40_L001_R1_001.fastq.gz,data/a1/reads/raw/26-2_S40_L001_R1_001.fastq.gz,R1
A1,26_2,26-2_S40_L001_R2_001.fastq.gz,data/a1/reads/raw/26-2_S40_L001_R2_001.fastq.gz,R2
A1,26_3,26-3_S44_L001_R1_001.fastq.gz,data/a1/reads/raw/26-3_S44_L001_R1_001.fastq.gz,R1
A1,26_3,26-3_S44_L001_R2_001.fastq.gz,data/a1/reads/raw/26-3_S44_L001_R2_001.fastq.gz,R2
A1,26_4,26-4_S7_L001_R1_001.fastq.gz,data/a1/reads/raw/26-4_S7_L001_R1_001.fastq.gz,R1
A1,26_4,26-4_S7_L001_R2_001.fastq.gz,data/a1/reads/raw/26-4_S7_L001_R2_001.fastq.gz,R2
A1,3_1,3-1_S46_L001_R1_001.fastq.gz,data/a1/reads/raw/3-1_S46_L001_R1_001.fastq.gz,R1
A1,3_1,3-1_S46_L001_R2_001.fastq.gz,data/a1/reads/raw/3-1_S46_L001_R2_001.fastq.gz,R2
A1,3_2,3-2_S60_L001_R1_001.fastq.gz,data/a1/reads/raw/3-2_S60_L001_R1_001.fastq.gz,R1
A1,3_2,3-2_S60_L001_R2_001.fastq.gz,data/a1/reads/raw/3-2_S60_L001_R2_001.fastq.gz,R2
A1,3_3,3-3_S87_L001_R1_001.fastq.gz,data/a1/reads/raw/3-3_S87_L001_R1_001.fastq.gz,R1
A1,3_3,3-3_S87_L001_R2_001.fastq.gz,data/a1/reads/raw/3-3_S87_L001_R2_001.fastq.gz,R2
A1,3_4,3-4_S58_L001_R1_001.fastq.gz,data/a1/reads/raw/3-4_S58_L001_R1_001.fastq.gz,R1
A1,3_4,3-4_S58_L001_R2_001.fastq.gz,data/a1/reads/raw/3-4_S58_L001_R2_001.fastq.gz,R2
A1,4_1,4-1_S31_L001_R1_001.fastq.gz,data/a1/reads/raw/4-1_S31_L001_R1_001.fastq.gz,R1
