sample_id,center_id,dna_sample_id,specimen_id,aliquot_number,specimen_type,collection_week,collection_day,collection_date,host_species,host_sex,extraction_batch,extraction_date,number_of_pellets,number_of_aliquots,extraction_protocol,dna_conc,dna_conc_s1,dna_conc_s2,well,row,column,library_strategy
A1_1_1,A1,1_1,1,1,T. mobilis,NA,NA,NA,NA,NA,1,2019-12-03,1,4,1,0.2785,0.08,0.358,C4,C,4,Amplicon
A1_1_2,A1,1_2,1,2,T. mobilis,NA,NA,NA,NA,NA,1,2019-12-03,1,4,2,0.9576,0.72,1.55,F9,F,9,Amplicon
A1_2_1,A1,2_1,2,1,Inoculum,1,1,2019-09-09,NA,NA,1,2019-12-03,1,4,1,0.283,0.08,0.272,G7,G,7,Amplicon
A1_2_2,A1,2_2,2,2,Inoculum,1,1,2019-09-09,NA,NA,1,2019-12-03,1,4,2,1.1587,0.761,3.2,E5,E,5,Amplicon
A1_2_3,A1,2_3,2,3,Inoculum,1,1,2019-09-09,NA,NA,1,2019-12-03,1,4,1,0.2609,0.003,0.266,A3,A,3,Amplicon
A1_2_4,A1,2_4,2,4,Inoculum,1,1,2019-09-09,NA,NA,1,2019-12-03,1,4,2,0.9978,0.531,1.24,G3,G,3,Amplicon
A1_3_1,A1,3_1,3,1,Inoculum,1,2,2019-09-10,NA,NA,1,2019-12-03,1,4,1,0.238,0.078,0.218,D10,D,10,Amplicon
A1_3_2,A1,3_2,3,2,Inoculum,1,2,2019-09-10,NA,NA,1,2019-12-03,1,4,2,0.8068,0.554,0.76,E12,E,12,Amplicon
A1_3_3,A1,3_3,3,3,Inoculum,1,2,2019-09-10,NA,NA,1,2019-12-03,1,4,1,0.2944,0.061,0.332,H3,H,3,Amplicon
A1_3_4,A1,3_4,3,4,Inoculum,1,2,2019-09-10,NA,NA,1,2019-12-03,1,4,2,0.917,0.616,1.16,E10,E,10,Amplicon
A1_4_1,A1,4_1,4,1,Inoculum,1,3,2019-09-11,NA,NA,1,2019-12-03,1,4,1,0.1558,0,0,C7,C,7,Amplicon
A1_4_2,A1,4_2,4,2,Inoculum,1,3,2019-09-11,NA,NA,1,2019-12-03,1,4,2,0.6554,0.399,0.312,F5,F,5,Amplicon
A1_4_3,A1,4_3,4,3,Inoculum,1,3,2019-09-11,NA,NA,1,2019-12-03,1,4,1,0.1962,0.025,0.132,A2,A,2,Amplicon
A1_4_4,A1,4_4,4,4,Inoculum,1,3,2019-09-11,NA,NA,1,2019-12-03,1,4,2,0.797,0.672,1.53,B11,B,11,Amplicon
A1_5_1,A1,5_1,5,1,Fecal,2,4,2019-09-19,Mouse,Female,1,2019-12-03,1,4,1,21.9,30.257,55.2,A1,A,1,Amplicon
A1_5_2,A1,5_2,5,2,Fecal,2,4,2019-09-19,Mouse,Female,1,2019-12-03,1,4,2,7.7403,4.575,12.3,D1,D,1,Amplicon
A1_5_3,A1,5_3,5,3,Fecal,2,4,2019-09-19,Mouse,Female,1,2019-12-03,1,4,1,26.1,26.337,69,C3,C,3,Amplicon
A1_5_4,A1,5_4,5,4,Fecal,2,4,2019-09-19,Mouse,Female,1,2019-12-03,1,4,2,8.074,2.795,8.96,E2,E,2,Amplicon
A1_6_1,A1,6_1,6,1,Fecal,2,4,2019-09-19,Mouse,Female,1,2019-12-03,1,4,1,32.3,32.65,102,G1,G,1,Amplicon
